Country Name,E Score,S Score,G Score,ESG Score
Sweden,0.8516420808621422,0.8459856894429283,0.7726062551217096,2.4702340254267803
Norway,0.8288193550656472,0.7992643323521489,0.8175345290617277,2.4456182164795237
Denmark,0.7500266241224879,0.8039049839855913,0.8465671013454333,2.4004987094535126
New Zealand,0.5948627994611448,0.8541800547212798,0.8485968850848412,2.297639739267266
Germany,0.7673474360258585,0.7729250931465345,0.7362960536695787,2.2765685828419717
United Kingdom,0.8223236937740327,0.7621496969444895,0.6892965685475255,2.2737699592660476
Netherlands,0.7297242537334687,0.7896622871486437,0.7186871003809395,2.238073641263052
Australia,0.5475631922029809,0.866146421916258,0.8217548399527088,2.2354644540719475
France,0.7972400164032208,0.7641893212127039,0.625450277753611,2.1868796153695356
Portugal,0.7942336525961551,0.7578329389589242,0.5960044849115077,2.148071076466587
Belgium,0.662348739009361,0.7738468798727276,0.6478418986707541,2.0840375175528427
Japan,0.6809748914424902,0.7567003493176976,0.6419366566757717,2.0796118974359596
Spain,0.71516444585654,0.7824328153146266,0.5656716073657877,2.0632688685369542
Ireland,0.5612063577776749,0.8236143962495517,0.6516036662902168,2.0364244203174433
Canada,0.4848645415492364,0.7797463865302561,0.7528870454449461,2.0174979735244385
Poland,0.7397048934665607,0.7342012779374972,0.5341079475321927,2.008014118936251
Singapore,0.46283959335235364,0.7471419739086442,0.7928542416663987,2.0028358089273968
Italy,0.7211139492011505,0.7628907303111466,0.48639643843478186,1.970401117947079
"Korea, Rep.",0.5101712854572233,0.8028226397256105,0.5946691655948161,1.9076630907776502
United States,0.49354008412892325,0.7589167612449444,0.6489268875935547,1.9013837329674224
Greece,0.7182821583619745,0.7012109004010875,0.4161592517179914,1.8356523104810534
Malaysia,0.6683947454791221,0.7411428497285495,0.3885828820849546,1.7981204772926263
Thailand,0.7104154022136494,0.6071546050170882,0.2909936941901978,1.6085637014209355
Turkiye,0.6313469626368245,0.6511892721311586,0.2437657701058935,1.5263020048738767
China,0.5841061602880334,0.6306663927258893,0.2816338163855358,1.4964063693994585
Indonesia,0.6662128325622111,0.4686093418101394,0.3121791478775477,1.4470013222498983
South Africa,0.591788120461614,0.276373996409688,0.3015094374882463,1.1696715543595484
India,0.5918755428096494,0.24068599587912,0.29608361001973915,1.1286451487085085
